longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
138.9743185,37.78555092,1395,潟東北公園,五之上253番地3, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,潟東地区,屋外
139.0038249,37.77828523,1399,味方出張所駐車場,味方1544, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,味方地区,屋外
139.0080797,37.80048767,1401,七穂農村公園,山王新田1-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,味方地区,屋外
139.0100391,37.78368161,1402,味方第２農村公園,味方952-4, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,味方地区,屋外
139.0073262,37.77783951,1403,味方第１農村公園,味方624-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,味方地区,屋外
139.0102241,37.76548321,1405,白根第１農村公園,西白根1563-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,味方地区,屋外
138.9759107,37.7659662,1435,潟東東公園,井随436番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,潟東地区,屋外
139.0249605,37.75867028,1450,白根総合公園,上下諏訪木1775-1, , ,広域避難場所に指定しています。　・地震発生後、火災の延焼拡大等により一時避難場所が危険な状況になった場合の避難場所として市が指定しています。,白根地区,屋外
139.0679199,37.76053755,1318,小須戸児童遊園,小須戸3526番地4, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,小須戸地区,屋外
139.0606443,37.76188449,1331,下八枚公園,下八枚590番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,南区,屋外
139.0839649,37.75925822,1391,新保農村公園,新保1744番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,小須戸地区,屋外
139.073724,37.75838306,1410,中間木公園,小須戸320番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,小須戸地区,屋外
139.1290696,37.79743644,1338,日宝町公園,日宝町294番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,秋葉区,屋外
139.1679033,37.79784178,1340,六郷公園,六郷1033番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,秋葉区,屋外
138.8772517,37.81573286,1505,佐潟公園,赤塚5404番地14, , ,広域避難場所に指定しています。　・地震発生後、火災の延焼拡大等により一時避難場所が危険な状況になった場合の避難場所として市が指定しています。,西地区,屋外
138.9563656,37.81261059,1407,升岡農村公園,升岡新田143, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,西川地区,屋外
138.9419956,37.80962815,1448,升潟児童遊園,大潟384番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,西蒲区,屋外
138.9042369,37.81906983,1504,みずき野中央公園,みずき野4丁目14番1号, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,西地区,屋外
138.8981013,37.81796478,1506,かただ公園,みずき野6丁目6番25号, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,西地区,屋外
138.9077652,37.84442761,1507,小丸山公園,新中浜5丁目5番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,西地区,屋外
